City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
halifax,44.6453,-63.5724,33.01,74,99,17.27,CA,1614456793
tan an,10.5333,106.4167,77.0,78,40,5.75,VN,1614457058
tabou,4.423,-7.3528,79.02,86,0,6.69,CI,1614457058
juneau,58.3019,-134.4197,35.6,80,90,21.85,US,1614457058
harper,4.375,-7.7169,78.49,87,72,6.58,LR,1614457058
dunedin,-45.8742,170.5036,60.01,94,99,1.01,NZ,1614457059
nabire,-3.3667,135.4833,76.14,87,100,3.42,ID,1614457059
hovd,48.0056,91.6419,5.49,62,6,1.59,MN,1614457059
huarmey,-10.0681,-78.1522,77.34,56,47,8.72,PE,1614457059
boa vista,2.8197,-60.6733,93.2,38,75,11.5,BR,1614457060
visby,57.6409,18.296,41.0,70,90,8.05,SE,1614457060
hirara,24.8,125.2833,69.03,80,1,15.17,JP,1614457060
davila,18.4726,120.5763,77.4,82,95,17.34,PH,1614457061
talnakh,69.4865,88.3972,-31.2,80,0,4.41,RU,1614457061
panjakent,39.4952,67.6093,32.0,69,0,4.05,TJ,1614457061
puerto del rosario,28.5004,-13.8627,62.6,59,20,9.22,ES,1614457061
kailua,21.4022,-157.7394,73.4,78,90,23.02,US,1614456972
naousa,40.6329,22.0534,59.0,48,1,3.0,GR,1614457061
santa maria,-29.6842,-53.8069,86.0,51,40,13.8,BR,1614457061
bowling green,36.9903,-86.4436,55.99,82,90,3.44,US,1614457047
naco,31.3347,-109.9483,66.0,7,100,8.01,MX,1614457062
myitkyina,25.3833,97.4,62.92,60,7,2.35,MM,1614457062
arroio grande,-32.2375,-53.0869,78.17,63,0,15.03,BR,1614457062
quatre cocos,-20.2078,57.7625,80.01,78,40,11.5,MU,1614457063
nakhon phanom,17.3333,104.4167,71.55,81,0,5.57,TH,1614457063
vestnes,62.6264,7.0884,46.4,71,90,21.85,NO,1614457063
fuzhou,26.0614,119.3061,55.4,88,0,2.24,CN,1614457063
moyamba,8.1667,-12.4333,79.74,76,0,6.4,SL,1614457064
kaitangata,-46.2817,169.8464,59.27,91,100,5.37,NZ,1614457064
cienfuegos,22.1461,-80.4356,87.8,55,20,9.22,CU,1614457064
vega de alatorre,20.0333,-96.6333,80.24,76,26,12.46,MX,1614457064
somers,42.6403,-87.9104,48.2,49,1,4.61,US,1614457064
haag,52.0767,4.2986,42.01,100,0,2.3,NL,1614457065
bama,11.5221,13.6856,75.38,19,0,8.72,NG,1614457065
khipro,25.8285,69.3772,71.56,23,0,10.13,PK,1614457065
olean,42.0776,-78.4297,44.01,75,90,9.22,US,1614457065
avera,33.194,-82.5271,80.6,41,1,9.22,US,1614457066
banikoara,11.2985,2.4386,83.23,10,57,4.65,BJ,1614457066
allonnes,47.9674,0.1581,46.4,61,0,10.36,FR,1614457066
sovetskiy,61.3614,63.5842,-17.23,89,57,5.19,RU,1614457066
muravlenko,63.7898,74.523,-14.82,90,87,6.76,RU,1614457066
prince rupert,54.3161,-130.3201,39.2,87,90,14.97,CA,1614456827
chinhoyi,-17.3667,30.2,63.72,88,100,5.3,ZW,1614457067
sidi ali,36.0998,0.4206,53.06,85,0,10.18,DZ,1614457067
sao filipe,14.8961,-24.4956,70.34,70,0,14.41,CV,1614457067
witzenhausen,51.3333,9.8667,39.0,89,73,2.17,DE,1614457067
cooma,-36.2333,149.1333,50.0,100,90,0.56,AU,1614457067
coihueco,-36.6167,-71.8333,87.8,29,0,12.66,CL,1614457067
gurlan,41.8447,60.3919,37.4,81,0,9.22,UZ,1614457068
lorengau,-2.0226,147.2712,81.28,82,50,9.33,PG,1614457068
trairi,-3.2778,-39.2689,81.81,74,100,11.27,BR,1614457068
sao joao da barra,-21.6403,-41.0511,80.6,74,75,13.8,BR,1614457068
paamiut,61.994,-49.6678,16.72,90,92,4.34,GL,1614457068
douentza,14.9951,-2.9517,72.75,18,0,4.76,ML,1614457069
miri,4.4148,114.0089,77.0,100,40,4.61,MY,1614457069
gravelbourg,49.8834,-106.5512,-2.2,65,100,10.36,CA,1614457069
dyurtyuli,55.4911,54.8688,14.13,96,99,12.68,RU,1614457069
hervey bay,-25.2986,152.8535,77.0,94,40,6.91,AU,1614457070
emba,48.8264,58.1442,35.78,100,100,14.12,KZ,1614457070
kurilsk,45.2333,147.8833,20.26,92,46,14.29,RU,1614457070
fare,-16.7,-151.0167,82.8,74,61,9.66,PF,1614457070
mirnyy,62.5353,113.9611,-27.56,98,36,6.51,RU,1614457070
berekum,7.4534,-2.584,84.0,43,100,4.65,GH,1614457071
parnarama,-5.6817,-43.0933,78.71,85,97,2.86,BR,1614457071
colac,-38.3333,143.5833,51.01,1,0,3.13,AU,1614457071
roma,43.2128,-75.4557,44.01,87,90,3.44,US,1614457071
gushi,34.6425,109.5843,43.3,86,100,2.77,CN,1614457072
bhatapara,21.7333,81.9333,75.33,19,0,5.19,IN,1614457072
puerto escondido,15.85,-97.0667,86.0,66,1,13.8,MX,1614457071
oshkosh,44.0247,-88.5426,44.6,65,1,10.36,US,1614456973
san ramon,37.7799,-121.978,60.01,30,1,10.36,US,1614457030
mbini,1.574,9.6134,84.2,84,40,5.75,GQ,1614457072
elizabeth city,36.2946,-76.2511,68.0,64,1,16.11,US,1614456852
praya,14.9215,-23.5087,68.0,73,40,21.85,CV,1614457073
krasnyy yar,46.5331,48.3456,39.2,100,90,11.18,RU,1614457073
kargil,34.5667,76.1,15.76,90,100,5.66,IN,1614457073
waipawa,-41.4122,175.5153,68.0,73,75,12.66,NZ,1614457073
tuatapere,-46.1333,167.6833,57.99,97,99,1.99,NZ,1614457073
daru,-9.0763,143.2092,78.39,89,100,8.55,PG,1614457074
imbituba,-28.24,-48.6703,77.0,73,75,17.27,BR,1614457074
coxim,-18.5067,-54.76,86.9,64,65,4.63,BR,1614457074
parkes,-33.1333,148.1833,64.99,82,0,2.21,AU,1614457075
taikang,46.8333,124.4167,20.35,89,100,11.07,CN,1614457075
terra santa,-2.1042,-56.4869,86.68,66,45,4.72,BR,1614457075
dharchula,29.85,80.5333,54.48,45,18,5.59,IN,1614457075
puerto madryn,-42.7692,-65.0385,85.78,30,90,20.31,AR,1614456798
dolores,-36.3132,-57.6792,82.06,42,0,16.75,AR,1614457075
half moon bay,37.4636,-122.4286,60.8,62,1,20.71,US,1614456799
pont-audemer,49.35,0.5167,42.8,87,0,6.91,FR,1614457076
cockburn town,21.4612,-71.1419,80.6,65,40,17.27,TC,1614457068
palmer,42.1584,-72.3287,45.0,100,90,5.75,US,1614457076
kochevo,59.5994,54.3125,-7.51,96,37,5.99,RU,1614457076
kapit,2.0167,112.9333,71.55,95,51,0.56,MY,1614457077
darhan,49.4867,105.9228,-7.73,84,0,1.32,MN,1614457077
vila velha,-20.3297,-40.2925,80.6,78,20,9.22,BR,1614457077
urumqi,43.801,87.6005,6.8,78,0,4.47,CN,1614457077
pascagoula,30.3658,-88.5561,73.4,88,90,10.36,US,1614456872
rapid valley,44.0625,-103.1463,35.6,47,90,5.75,US,1614457078
methoni,36.8197,21.7049,57.0,87,0,4.61,GR,1614457078
lompoc,34.6391,-120.4579,63.0,48,1,16.11,US,1614457078
vrangel,42.7297,133.0839,33.01,93,100,7.58,RU,1614457035
mount darwin,-16.7725,31.5838,66.34,89,100,3.36,ZW,1614457078
algodones,20.3888,-105.4773,77.0,78,1,12.66,MX,1614457078
ikeda,34.8221,135.4298,37.99,74,100,4.88,JP,1614456794
synya,65.3718,58.0387,-6.03,87,87,6.44,RU,1614457079
zhigansk,66.7697,123.3711,-26.43,83,100,12.1,RU,1614457079
rimbey,52.6334,-114.2353,21.2,45,0,3.44,CA,1614456908
sheltozero,61.3667,35.3667,27.55,98,100,5.97,RU,1614457080
muroto,33.2833,134.15,55.08,73,100,20.69,JP,1614457080
catamarca,-28.4696,-65.7852,90.0,61,8,5.99,AR,1614457080
borskoye,53.0333,51.7167,31.21,99,100,8.23,RU,1614457080
hornepayne,49.2138,-84.7705,8.01,92,100,7.99,CA,1614457081
maracacume,-2.0428,-45.9592,80.15,88,100,4.94,BR,1614457081
waddan,29.1614,16.139,56.08,54,0,8.84,LY,1614457081
fort payne,34.4442,-85.7197,73.0,68,90,9.22,US,1614457081
zaragoza,41.6561,-0.8773,53.01,66,0,9.22,ES,1614457011
atar,20.5169,-13.0499,67.69,24,0,11.88,MR,1614457081
the valley,18.217,-63.0578,80.6,73,20,16.11,AI,1614456891
shubarkuduk,49.1447,56.4872,35.62,99,100,11.1,KZ,1614457082
namibe,-15.1961,12.1522,70.7,78,42,6.35,AO,1614457082
lasa,46.6166,10.7002,57.2,80,0,9.22,IT,1614457082
te anau,-45.4167,167.7167,56.95,90,100,0.81,NZ,1614457082
wewak,-3.5534,143.6268,78.35,85,99,7.09,PG,1614457082
tyazhinskiy,56.116,88.524,-10.07,89,100,8.21,RU,1614457082
petropavlovsk-kamchatskiy,53.0452,158.6483,21.2,73,100,2.24,RU,1614457083
bam,29.106,58.357,48.13,44,0,3.83,IR,1614457083
sambava,-14.2667,50.1667,77.76,87,100,6.33,MG,1614457083
agdam,39.991,46.9274,42.84,64,0,4.25,AZ,1614457083
karatau,43.1667,70.4667,25.3,87,52,7.2,KZ,1614457084
shizunai,42.3339,142.3669,23.99,90,35,3.31,JP,1614457084
san quintin,30.4833,-115.95,62.96,59,2,10.63,MX,1614457084
boca do acre,-8.7522,-67.3978,86.77,71,89,2.24,BR,1614457084
anadyr,64.75,177.4833,-31.0,75,0,11.18,RU,1614457084
mascota,20.5167,-104.7833,77.0,78,1,12.66,MX,1614457084
balkanabat,39.5108,54.3671,45.9,52,91,9.13,TM,1614457085
jiwani,25.05,61.7417,71.98,49,0,4.76,PK,1614457085
novorzhev,57.0294,29.3338,32.36,96,99,8.55,RU,1614457085
pemba,-12.974,40.5178,76.26,86,93,5.77,MZ,1614457085
batticaloa,7.7102,81.6924,78.49,76,38,1.92,LK,1614457086
praia da vitoria,38.7333,-27.0667,60.8,77,20,10.18,PT,1614457086
thinadhoo,0.5333,72.9333,82.56,64,49,5.57,MV,1614457086
wasilla,61.5814,-149.4394,30.99,93,90,0.67,US,1614457086
natal,-5.795,-35.2094,84.2,70,75,13.8,BR,1614457076
verkhoturye,58.8627,60.8054,-4.77,91,100,5.97,RU,1614457087
dalianwan,39.0286,121.695,37.4,93,0,2.24,CN,1614457087
ilebo,-4.3167,20.5833,74.59,83,81,0.94,CD,1614457087
mathbaria,22.2876,89.9593,69.21,93,0,4.59,BD,1614457088
abancay,-13.6339,-72.8814,53.6,82,75,10.36,PE,1614457089
samana,19.2056,-69.3369,78.8,89,75,11.5,DO,1614456907
fort smith,35.3859,-94.3986,55.99,76,20,13.8,US,1614456952
saint-joseph,-21.3667,55.6167,80.6,74,75,2.3,RE,1614457090
sechura,-5.5569,-80.8222,82.83,56,46,14.65,PE,1614457090
mehran,33.1222,46.1646,37.4,70,0,4.61,IR,1614457090
rabo de peixe,37.8,-25.5833,61.0,88,20,4.61,PT,1614457090
olafsvik,64.8945,-23.7142,40.86,75,92,35.03,IS,1614457090
sept-iles,50.2001,-66.3821,30.0,59,75,9.22,CA,1614457021
maniitsoq,65.4167,-52.9,13.71,92,100,10.47,GL,1614457090
kamenolomni,47.6685,40.2051,37.4,93,75,6.71,RU,1614457091
bardiyah,31.7561,25.0865,57.69,77,0,9.73,LY,1614457091
yoichi,43.2039,140.7703,14.0,77,85,11.41,JP,1614457091
poum,-20.2333,164.0167,79.21,77,99,12.19,NC,1614457091
inta,66.0317,60.1659,-6.27,75,88,5.3,RU,1614457091
tuckahoe,37.5901,-77.5564,52.0,76,40,8.05,US,1614457092
kushmurun,52.4503,64.6311,15.85,96,100,18.66,KZ,1614457092
praia,14.9215,-23.5087,68.0,73,40,21.85,CV,1614456913
kaduqli,11.0167,29.7167,78.98,15,0,9.57,SD,1614457092
